loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2025-05-14T21:35:39.468+09:00,1,1747226136.588171,35.65715016444047,139.701000684363,27.74336,-1,-1,-1,-1,30,37.08792774218872,-9999,1747226139.448842,-2.230514526367188,-8.988334655761719,-13.84522247314453,86.59104156494141,94.55965423583984,14.23998928070068,67180.68955129167,0.04949951171875,-0.4681854248046875,-0.9182586669921875,67180.68456329167,0.005054946057498455,0.01440423913300037,-0.009941580705344677,67180.66274829167,59.53239440917969,-58.11427307128906,-133.8466033935547,67180.64340629167,0.3663558047445244,0.08638492011936821,0.4930414854305418,-0.07936625927686691,0.1119544878602028,-0.03079820796847343,0.01159906387329102,-0.009862393140792847,0.03023111820220947,XArbitraryCorrectedZVertical,0.2320973910810083,0.0855831916946443,0.186844186965275,0.9507342240690231,0.07600164413452148,-0.4733073115348816,-0.8776126503944397,-2.21600341796875,-9.035865783691406,-13.60735321044922,-1,2,67166.617800625,unknown,2,2025-05-14T21:35:25.400+09:00,2025-05-14T21:29:57.482+09:00,149,1.61171,0,0,105.3387,0,0,2025-05-14T21:34:34.323+09:00,67178.777196,0,-0.1109772,101.6852,1747226139.460134,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747226139.453125,1,0.4,0
2025-05-14T21:35:39.503+09:00,2,1747226136.588171,35.65715016444047,139.701000684363,27.74336,-1,-1,-1,-1,30,37.08792774218872,-9999,1747226139.488561,-2.193740844726562,-8.9775390625,-13.83071136474609,86.62103271484375,94.58964538574219,14.24008655548096,67180.72322529167,0.0565338134765625,-0.457000732421875,-0.89520263671875,67180.71823629166,0.1270817816257477,0.1697248518466949,-0.02582467347383499,67180.72338729167,59.77046203613281,-58.18930053710938,-133.7414093017578,67180.70327029168,0.364637470159964,0.08521493952012704,0.4920537175040984,0.07643754780292511,0.1329463124275208,-0.02921714819967747,-0.03065726161003113,-0.004247754812240601,-0.03617072105407715,XArbitraryCorrectedZVertical,0.2318080560594259,0.08474573396248368,0.185893158353935,0.9510662831358471,0.07501455396413803,-0.4724369645118713,-0.8781663775444031,-2.193740844726562,-8.9775390625,-13.83071136474609,-1,2,67166.617800625,unknown,2,2025-05-14T21:35:25.400+09:00,2025-05-14T21:29:57.482+09:00,149,1.61171,0,0,105.3387,0,0,2025-05-14T21:34:34.323+09:00,67178.777196,0,-0.1109772,101.6852,1747226139.460134,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747226139.453125,1,0.4,0
2025-05-14T21:35:39.539+09:00,3,1747226136.588171,35.65715016444047,139.701000684363,27.74336,-1,-1,-1,-1,30,37.08792774218872,-9999,1747226139.528685,-2.188880920410156,-8.913192749023438,-13.48642730712891,86.61698913574219,94.58560180664062,14.24019622802734,67180.75689929166,0.0210723876953125,-0.4894256591796875,-0.859130859375,67180.75191029167,0.1730543375015259,0.07953424006700516,-0.06991890072822571,67180.75370629167,59.37333679199219,-57.98126220703125,-133.5149841308594,67180.70327029168,0.364637470159964,0.08521493952012704,0.4920537175040984,0.07643754780292511,0.1329463124275208,-0.02921714819967747,-0.03065726161003113,-0.004247754812240601,-0.03617072105407715,XArbitraryCorrectedZVertical,0.2318080560594259,0.08474573396248368,0.185893158353935,0.9510662831358471,0.07501455396413803,-0.4724369645118713,-0.8781663775444031,-2.193740844726562,-8.9775390625,-13.83071136474609,-1,2,67166.617800625,unknown,2,2025-05-14T21:35:25.400+09:00,2025-05-14T21:29:57.482+09:00,149,1.61171,0,0,105.3387,0,0,2025-05-14T21:34:34.323+09:00,67178.777196,0,-0.1109772,101.6852,1747226139.460134,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747226139.453125,1,0.4,0
2025-05-14T21:35:39.573+09:00,4,1747226136.588171,35.65715016444047,139.701000684363,27.74336,-1,-1,-1,-1,30,37.08792774218872,-9999,1747226139.568586,-2.240222930908203,-8.915870666503906,-13.29407501220703,86.79311370849609,94.76172637939453,14.24030017852783,67180.79057329167,0.0183258056640625,-0.454376220703125,-0.834136962890625,67180.78558429168,0.09674865007400513,0.02433596551418304,-0.108257494866848,67180.78402829167,59.57194519042969,-58.02786254882812,-133.2373352050781,67180.76313529167,0.3611086637591613,0.09415788726965123,0.5004756396293468,0.1552842259407043,0.04352114349603653,-0.07868117094039917,-0.06129337847232819,-0.01074254512786865,0.01372700929641724,XArbitraryCorrectedZVertical,0.2351511241537011,0.08927420753076422,0.185253632953798,0.9499553881819045,0.08248782902956009,-0.4798429012298584,-0.8734681010246277,-2.338390350341797,-8.953815460205078,-13.49706268310547,-1,2,67166.617800625,unknown,2,2025-05-14T21:35:25.400+09:00,2025-05-14T21:29:57.482+09:00,149,1.61171,0,0,105.3387,0,0,2025-05-14T21:34:34.323+09:00,67178.777196,0,-0.1109772,101.6852,1747226139.460134,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747226139.453125,1,0.4,0
2025-05-14T21:35:39.603+09:00,5,1747226136.588171,35.65715016444047,139.701000684363,27.74336,-1,-1,-1,-1,30,37.08792774218872,-9999,1747226139.588553,-2.178798675537109,-9.0938720703125,-13.56223297119141,86.95386505126953,94.92247772216797,14.24033546447754,67180.82424629167,-0.0012054443359375,-0.4618988037109375,-0.85101318359375,67180.81925729167,0.04147074371576309,0.1566271632909775,-0.2461048513650894,67180.81434829166,59.53787231445312,-58.21757507324219,-133.4873809814453,67180.76313529167,0.3611086637591613,0.09415788726965123,0.5004756396293468,0.1552842259407043,0.04352114349603653,-0.07868117094039917,-0.06129337847232819,-0.01074254512786865,0.01372700929641724,XArbitraryCorrectedZVertical,0.2351511241537011,0.08927420753076422,0.185253632953798,0.9499553881819045,0.08248782902956009,-0.4798429012298584,-0.8734681010246277,-2.338390350341797,-8.953815460205078,-13.49706268310547,-1,2,67166.617800625,unknown,2,2025-05-14T21:35:25.400+09:00,2025-05-14T21:29:57.482+09:00,149,1.61171,0,0,105.3387,0,0,2025-05-14T21:34:34.323+09:00,67178.777196,0,-0.1109772,101.6852,1747226139.460134,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747226139.453125,1,0.4,0
2025-05-14T21:35:39.638+09:00,6,1747226136.588171,35.65715016444047,139.701000684363,27.74336,-1,-1,-1,-1,30,37.08792774218872,-9999,1747226139.628497,-2.071201324462891,-9.214462280273438,-13.48662567138672,87.50418853759766,95.47280120849609,14.24038028717041,67180.85792029167,0.037261962890625,-0.463134765625,-0.8336334228515625,67180.85293129167,0.1679048538208008,0.1649359613656998,-0.3647585213184357,67180.84466429167,59.80012512207031,-58.38784790039062,-133.4249114990234,67180.82299929167,0.3505933475368385,0.1036193442142545,0.5045701918738386,0.04771440476179123,0.1493318527936935,-0.2588247358798981,-0.09344348311424255,0.02029633522033691,0.01225817203521729,XArbitraryCorrectedZVertical,0.2367164359891961,0.09285356631257161,0.1813816334577915,0.9499707394774028,0.09054431319236755,-0.4834312498569489,-0.8706870675086975,-2.239444732666016,-9.097946166992188,-13.54036712646484,-1,2,67166.617800625,unknown,2,2025-05-14T21:35:25.400+09:00,2025-05-14T21:29:57.482+09:00,149,1.61171,0,0,105.3387,0,0,2025-05-14T21:34:34.323+09:00,67178.777196,0,-0.1109772,101.6852,1747226139.460134,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747226139.453125,1,0.4,0
2025-05-14T21:35:39.673+09:00,7,1747226136.588171,35.65715016444047,139.701000684363,27.74336,-1,-1,-1,-1,30,37.08792774218872,-9999,1747226139.668313,-1.946403503417969,-9.118255615234375,-13.38474273681641,88.34263610839844,96.31124877929688,14.24037265777588,67180.89159429166,0.071258544921875,-0.4586944580078125,-0.7465972900390625,67180.88660529167,0.2795389592647552,0.1174954697489738,-0.4030475914478302,67180.87497729166,59.96366882324219,-58.20521545410156,-133.3251647949219,67180.88286329167,0.3251497136432666,0.1253341257013448,0.5114586508976489,0.2606734037399292,0.1196668371558189,-0.4096757173538208,-0.04881346225738525,0.02689468860626221,0.07647979259490967,XArbitraryCorrectedZVertical,0.2393186249425564,0.1006526272231387,0.1719208397319378,0.9502837240001469,0.1090093925595284,-0.4894497692584991,-0.8651912808418274,-1.876743316650391,-9.089218139648438,-13.41506195068359,-1,2,67166.617800625,unknown,2,2025-05-14T21:35:25.400+09:00,2025-05-14T21:29:57.482+09:00,149,1.61171,0,0,105.3387,0,0,2025-05-14T21:34:34.323+09:00,67178.777196,0,-0.1109772,101.6852,1747226139.460134,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747226139.453125,1,0.4,0
2025-05-14T21:35:39.708+09:00,8,1747226136.588171,35.65715016444047,139.701000684363,27.74336,-1,-1,-1,-1,30,37.08792774218872,-9999,1747226139.688323,-1.938053131103516,-9.135536193847656,-13.24031829833984,88.78092956542969,96.74954223632812,14.24028587341309,67180.92526829167,0.038299560546875,-0.4220428466796875,-0.785369873046875,67180.92027929168,0.8180953860282898,0.8445096611976624,-0.3836342096328735,67180.90529129167,59.82150268554688,-58.2684326171875,-133.1081085205078,67180.88286329167,0.3251497136432666,0.1253341257013448,0.5114586508976489,0.2606734037399292,0.1196668371558189,-0.4096757173538208,-0.04881346225738525,0.02689468860626221,0.07647979259490967,XArbitraryCorrectedZVertical,0.2393186249425564,0.1006526272231387,0.1719208397319378,0.9502837240001469,0.1090093925595284,-0.4894497692584991,-0.8651912808418274,-1.876743316650391,-9.089218139648438,-13.41506195068359,-1,2,67166.617800625,unknown,2,2025-05-14T21:35:25.400+09:00,2025-05-14T21:29:57.482+09:00,149,1.61171,0,0,105.3387,0,0,2025-05-14T21:34:34.323+09:00,67178.777196,0,-0.1109772,101.6852,1747226139.460134,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747226139.453125,1,0.4,0
2025-05-14T21:35:39.740+09:00,9,1747226136.588171,35.65715016444047,139.701000684363,27.74336,-1,-1,-1,-1,30,37.08792774218872,-9999,1747226139.728217,-1.053031921386719,-9.735469818115234,-12.89882659912109,88.81947326660156,96.7880859375,14.23910617828369,67180.95894129167,0.0304718017578125,-0.549285888671875,-0.7092742919921875,67180.95395229167,0.7012814283370972,3.098179817199707,-0.4252668619155884,67180.93560629168,60.50541687011719,-58.93460083007812,-132.8958892822266,67180.94272829167,0.2927065783804499,0.1895900420335153,0.5465542942028676,0.8956260681152344,2.618244886398315,-0.3506247401237488,-0.1402348577976227,0.08203279972076416,-0.0172039270401001,XArbitraryCorrectedZVertical,0.252513202329304,0.1293478110068763,0.1650620265153291,0.9445956788287083,0.1610020846128464,-0.5197466015815735,-0.8390124440193176,-1.358394622802734,-9.681606292724609,-12.94901275634766,-1,2,67166.617800625,unknown,2,2025-05-14T21:35:25.400+09:00,2025-05-14T21:29:57.482+09:00,149,1.61171,0,0,105.3387,0,0,2025-05-14T21:34:34.323+09:00,67178.777196,0,-0.1109772,101.6852,1747226139.460134,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747226139.453125,1,0.4,0
2025-05-14T21:35:39.773+09:00,10,1747226136.588171,35.65715016444047,139.701000684363,27.74336,-1,-1,-1,-1,30,37.08792774218872,-9999,1747226139.767945,0.5141220092773438,-9.752101898193359,-12.869873046875,88.25856018066406,96.2271728515625,14.23822402954102,67180.99261529167,0.2665863037109375,-0.5191192626953125,-0.47027587890625,67180.98762629167,-0.263678252696991,2.006606817245483,-0.6964155435562134,67180.96592229167,61.74427795410156,-58.90939331054688,-132.8516693115234,67180.94272829167,0.2927065783804499,0.1895900420335153,0.5465542942028676,0.8956260681152344,2.618244886398315,-0.3506247401237488,-0.1402348577976227,0.08203279972076416,-0.0172039270401001,XArbitraryCorrectedZVertical,0.252513202329304,0.1293478110068763,0.1650620265153291,0.9445956788287083,0.1610020846128464,-0.5197466015815735,-0.8390124440193176,-1.358394622802734,-9.681606292724609,-12.94901275634766,-1,2,67166.617800625,unknown,2,2025-05-14T21:35:25.400+09:00,2025-05-14T21:29:57.482+09:00,149,1.61171,0,0,105.3387,0,0,2025-05-14T21:34:34.323+09:00,67178.777196,0,-0.1109772,101.6852,1747226139.460134,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747226139.453125,1,0.4,0
