loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2025-05-12T18:43:30.977+09:00,1,1747043007.64002,35.61796814567661,139.6918004095351,24.16172,-1,-1,-1,-1,4.792504242391506,301.6332251069585,-9999,1747043010.966709,-7.052234649658203,8.865056991577148,-39.94602966308594,34.82933807373047,42.78642654418945,11.68315887451172,92054.50336975,0.3411865234375,-0.44879150390625,-0.8383026123046875,92054.50336975,0.118630513548851,0.2527651488780975,-0.1943780034780502,92054.47525875001,51.21511840820312,-13.24432373046875,-132.7815856933594,92054.49214875001,-0.08553519442031474,0.4239784377513386,0.4112912289449163,0.10670106112957,0.2947441935539246,-0.08703773468732834,-0.02831205725669861,-0.02478256821632385,-0.04591423273086548,XArbitraryCorrectedZVertical,0.2082517685896641,0.1972482908185064,0.002008482292396965,0.9579771437625585,0.3770821690559387,-0.3997932076454163,-0.8354486227035522,-7.381423950195312,8.893647193908691,-40.00627136230469,-1,2,92051.30058416667,unknown,2,2025-05-12T18:43:27.748+09:00,null,0,0,0,0,0,0,0,null,92052.56332,0,0.01849747,100.6672,0,,,my_iOS_device,0,1,1747043010.963359,1,0.7,0
2025-05-12T18:43:30.991+09:00,2,1747043007.64002,35.61796814567661,139.6918004095351,24.16172,-1,-1,-1,-1,4.792504242391506,301.6332251069585,-9999,1747043010.986805,-6.815395355224609,8.774833679199219,-40.02250671386719,35.1590576171875,43.11614608764648,11.68371105194092,92054.53703075001,0.3524627685546875,-0.4051971435546875,-0.8263092041015625,92054.53703075001,-0.01409611199051142,0.4503583908081055,-0.397722601890564,92054.53590475001,51.88734436035156,-13.37124633789062,-132.6936492919922,92054.49214875001,-0.08553519442031474,0.4239784377513386,0.4112912289449163,0.10670106112957,0.2947441935539246,-0.08703773468732834,-0.02831205725669861,-0.02478256821632385,-0.04591423273086548,XArbitraryCorrectedZVertical,0.2082517685896641,0.1972482908185064,0.002008482292396965,0.9579771437625585,0.3770821690559387,-0.3997932076454163,-0.8354486227035522,-7.381423950195312,8.893647193908691,-40.00627136230469,-1,2,92054.49214875001,unknown,2,2025-05-12T18:43:30.940+09:00,null,0,0,0,0,0,0,0,null,92052.56332,0,0.01849747,100.6672,1747043010.985523,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747043010.963359,1,0.7,0
2025-05-12T18:43:31.022+09:00,3,1747043007.64002,35.61796814567661,139.6918004095351,24.16172,-1,-1,-1,-1,4.792504242391506,301.6332251069585,-9999,1747043011.006739,-6.470252990722656,8.695900917053223,-39.98382568359375,35.46253204345703,43.41962051391602,11.68425941467285,92054.57069175001,0.4359130859375,-0.355743408203125,-0.727813720703125,92054.57069175001,-0.1542897075414658,0.1711706817150116,-0.2263151556253433,92054.56622875,52.14114379882812,-13.26353454589844,-132.9940643310547,92054.55199175001,-0.1046557856045802,0.4520211036916004,0.4064122464308108,-0.1158042997121811,0.3502063155174255,-0.3488757908344269,-0.01578453183174133,0.03237080574035645,0.07084465026855469,XArbitraryCorrectedZVertical,0.2078885891824466,0.2088930641635707,-0.004762941847016698,0.9555749516895664,0.4012062847614288,-0.3953163623809814,-0.8262920379638672,-6.665981292724609,8.648425102233887,-40.3018798828125,-1,2,92054.49214875001,unknown,2,2025-05-12T18:43:30.940+09:00,null,0,0,0,0,0,0,0,null,92052.56332,0,0.01849747,100.6672,1747043010.985523,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747043010.963359,1,0.7,0
2025-05-12T18:43:31.056+09:00,4,1747043007.64002,35.61796814567661,139.6918004095351,24.16172,-1,-1,-1,-1,4.792504242391506,301.6332251069585,-9999,1747043011.046661,-6.382213592529297,9.120223045349121,-40.00080871582031,35.6766471862793,43.63373565673828,11.68523693084717,92054.60435275,0.4634857177734375,-0.352203369140625,-0.7580108642578125,92054.60435275,-0.3863019049167633,-0.1055906116962433,0.128920704126358,92054.59655175,52.22608947753906,-12.86073303222656,-132.6651153564453,92054.55199175001,-0.1046557856045802,0.4520211036916004,0.4064122464308108,-0.1158042997121811,0.3502063155174255,-0.3488757908344269,-0.01578453183174133,0.03237080574035645,0.07084465026855469,XArbitraryCorrectedZVertical,0.2078885891824466,0.2088930641635707,-0.004762941847016698,0.9555749516895664,0.4012062847614288,-0.3953163623809814,-0.8262920379638672,-6.665981292724609,8.648425102233887,-40.3018798828125,-1,2,92054.49214875001,unknown,2,2025-05-12T18:43:30.940+09:00,null,0,0,0,0,0,0,0,null,92052.56332,0,0.01849747,100.6672,1747043010.985523,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747043010.963359,1,0.7,0
2025-05-12T18:43:31.087+09:00,5,1747043007.64002,35.61796814567661,139.6918004095351,24.16172,-1,-1,-1,-1,4.792504242391506,301.6332251069585,-9999,1747043011.066413,-6.450271606445312,9.381780624389648,-39.79727172851562,35.44454193115234,43.40163040161133,11.68564891815186,92054.63801475,0.38909912109375,-0.338836669921875,-0.9764556884765625,92054.63801475,0.1510012298822403,-0.0175212025642395,0.1641322076320648,92054.62687575001,52.09770202636719,-12.71067810058594,-132.9614105224609,92054.61183375001,-0.1036837847497805,0.4549045509401413,0.3910431000219082,-0.3774875700473785,-0.08765783160924911,0.1811707615852356,0.03061971068382263,0.01887881755828857,0.003648579120635986,XArbitraryCorrectedZVertical,0.2004823548025435,0.2110945420269093,-0.00577200715987374,0.9566673824465683,0.4062089025974274,-0.3811529874801636,-0.830491840839386,-6.391353607177734,9.172380447387695,-39.958740234375,-1,2,92054.49214875001,unknown,2,2025-05-12T18:43:30.940+09:00,null,0,0,0,0,0,0,0,null,92052.56332,0,0.01849747,100.6672,1747043010.985523,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747043010.963359,1,0.7,0
2025-05-12T18:43:31.121+09:00,6,1747043007.64002,35.61796814567661,139.6918004095351,24.16172,-1,-1,-1,-1,4.792504242391506,301.6332251069585,-9999,1747043011.106326,-6.486347198486328,9.183427810668945,-39.7430419921875,35.06411361694336,43.02120208740234,11.68650913238525,92054.67167575001,0.46923828125,-0.3094482421875,-0.847503662109375,92054.67167575001,0.448713093996048,0.08249088376760483,0.3168895244598389,92054.65719775,52.10775756835938,-12.90989685058594,-132.4274291992188,92054.61183375001,-0.1036837847497805,0.4549045509401413,0.3910431000219082,-0.3774875700473785,-0.08765783160924911,0.1811707615852356,0.03061971068382263,0.01887881755828857,0.003648579120635986,XArbitraryCorrectedZVertical,0.2004823548025435,0.2110945420269093,-0.00577200715987374,0.9566673824465683,0.4062089025974274,-0.3811529874801636,-0.830491840839386,-6.391353607177734,9.172380447387695,-39.958740234375,-1,2,92054.49214875001,unknown,2,2025-05-12T18:43:30.940+09:00,null,0,0,0,0,0,0,0,null,92052.56332,0,0.01849747,100.6672,1747043010.985523,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747043010.963359,1,0.7,0
2025-05-12T18:43:31.157+09:00,7,1747043007.64002,35.61796814567661,139.6918004095351,24.16172,-1,-1,-1,-1,4.792504242391506,301.6332251069585,-9999,1747043011.14625,-6.257152557373047,8.659430503845215,-40.23565673828125,34.5064582824707,42.46354675292969,11.6875171661377,92054.70533675,0.4012603759765625,-0.4396514892578125,-0.712249755859375,92054.70533675,-0.08416201174259186,-0.08597509562969208,0.2750179767608643,92054.68752075001,52.39985656738281,-13.50985717773438,-133.2041625976562,92054.67167575001,-0.09560979740352145,0.452574935420968,0.4050940565348254,0.4470042288303375,0.07497674971818924,0.3210772275924683,0.06734693050384521,0.0846569836139679,-0.0209660530090332,XArbitraryCorrectedZVertical,0.2063147987146268,0.2101556507209076,-0.0005343970739425922,0.9556508350365125,0.4018913507461548,-0.3941051959991455,-0.8265376091003418,-6.220268249511719,8.831832885742188,-39.7628173828125,-1,2,92054.49214875001,unknown,2,2025-05-12T18:43:30.940+09:00,null,0,0,0,0,0,0,0,null,92052.56332,0,0.01849747,100.6672,1747043010.985523,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747043010.963359,1,0.7,0
2025-05-12T18:43:31.197+09:00,8,1747043007.64002,35.61796814567661,139.6918004095351,24.16172,-1,-1,-1,-1,4.792504242391506,301.6332251069585,-9999,1747043011.186128,-6.435295104980469,8.878497123718262,-40.11164855957031,34.07850646972656,42.03559494018555,11.68840217590332,92054.73899775,0.4029693603515625,-0.42388916015625,-0.829498291015625,92054.70533675,-0.08416201174259186,-0.08597509562969208,0.2750179767608643,92054.71784275,52.21324157714844,-12.98641967773438,-132.4325714111328,92054.73151775,-0.08166396250360507,0.4410891738057706,0.4150584298485537,-0.07233799248933792,-0.2348523437976837,0.1076067537069321,-0.01073181629180908,-0.04084837436676025,0.0318218469619751,XArbitraryCorrectedZVertical,0.2096228515573552,0.2056815813180422,0.006059331567434875,0.9558853222132282,0.3906756639480591,-0.4032433927059174,-0.8275067210197449,-6.435295104980469,8.878497123718262,-40.11164855957031,-1,2,92054.49214875001,unknown,2,2025-05-12T18:43:30.940+09:00,null,0,0,0,0,0,0,0,null,92052.56332,0,0.01849747,100.6672,1747043010.985523,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747043010.963359,1,0.7,0
2025-05-12T18:43:31.221+09:00,9,1747043007.64002,35.61796814567661,139.6918004095351,24.16172,-1,-1,-1,-1,4.792504242391506,301.6332251069585,-9999,1747043011.206268,-6.444015502929688,8.862241744995117,-40.05940246582031,33.97198486328125,41.92907333374023,11.68881416320801,92054.77265975,0.43145751953125,-0.36627197265625,-0.837432861328125,92054.77265975,-0.06197841465473175,-0.09954895824193954,0.2455708831548691,92054.74816775,52.19355773925781,-13.288330078125,-132.8120269775391,92054.73151775,-0.08166396250360507,0.4410891738057706,0.4150584298485537,-0.07233799248933792,-0.2348523437976837,0.1076067537069321,-0.01073181629180908,-0.04084837436676025,0.0318218469619751,XArbitraryCorrectedZVertical,0.2096228515573552,0.2056815813180422,0.006059331567434875,0.9558853222132282,0.3906756639480591,-0.4032433927059174,-0.8275067210197449,-6.435295104980469,8.878497123718262,-40.11164855957031,-1,2,92054.49214875001,unknown,2,2025-05-12T18:43:30.940+09:00,null,0,0,0,0,0,0,0,null,92052.56332,0,0.01849747,100.6672,1747043010.985523,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747043010.963359,1,0.7,0
2025-05-12T18:43:31.256+09:00,10,1747043007.64002,35.61796814567661,139.6918004095351,24.16172,-1,-1,-1,-1,4.792504242391506,301.6332251069585,-9999,1747043011.246168,-6.585945129394531,8.847977638244629,-39.8968505859375,33.42018890380859,41.37727737426758,11.68967628479004,92054.80632075001,0.389678955078125,-0.4067840576171875,-0.8785552978515625,92054.80632075001,-0.02509869448840618,0.01373498700559139,0.2506303489208221,92054.77848875,51.89430236816406,-12.88676452636719,-132.6248779296875,92054.79136075001,-0.0688719114045762,0.4274260463218225,0.4178248408256237,-0.06376384943723679,-0.0587163157761097,0.2862357497215271,0.03563565015792847,0.01810860633850098,-0.02800768613815308,XArbitraryCorrectedZVertical,0.2097010055331629,0.2003774112927069,0.01104620600016485,0.9569495264751735,0.3788693249225616,-0.4057733714580536,-0.8317487835884094,-6.585945129394531,8.847977638244629,-39.8968505859375,-1,2,92054.49214875001,unknown,2,2025-05-12T18:43:30.940+09:00,null,0,0,0,0,0,0,0,null,92052.56332,0,0.01849747,100.6672,1747043010.985523,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1747043010.963359,1,0.7,0
